"a","b"
2162.88312,15.689
2171.84576,15.555
2171.87139,15.558
2183.80511,15.633
2183.83081,15.643
2184.80467,15.583
2184.8303,15.572
2188.85523,15.538
2191.7654,15.676
2191.80118,15.68
2200.78705,15.55
2200.81193,15.557
2206.72217,15.579
2206.74808,15.603
2216.84629,15.662
2223.71094,15.532
2223.73521,15.527
2226.68707,15.7
2226.7108,15.706
2228.73083,15.696
2228.75449,15.691
2230.64239,15.706
2230.66626,15.687
2232.68802,15.684
2234.65691,15.678
2234.68111,15.677
2238.60138,15.654
2238.6257,15.641
2240.7279,15.587
2240.76077,15.595
2242.76262,15.586
2244.78956,15.546
2244.8134,15.561
2249.65783,15.682
2249.68161,15.682
2251.83149,15.71
2251.8552,15.711
2253.64569,15.685
2253.67172,15.704
2256.65032,15.536
2256.67683,15.567
2259.64485,15.679
2259.66873,15.699
2262.65002,15.574
2262.67399,15.577
2264.63372,15.585
2269.73516,15.577
2272.61593,15.628
2273.63029,15.578
2276.62669,15.66
2277.69593,15.539
2279.62117,15.532
2279.71122,15.534
2281.66859,15.537
2281.70332,15.54
2283.70423,15.544
2283.72907,15.569
2288.68973,15.682
2288.71765,15.675
2290.72763,15.639
2290.7524,15.643
2292.69773,15.636
2292.72724,15.64
2294.66831,15.623
2294.69486,15.607
2296.68725,15.586
2296.71645,15.597
2298.67256,15.588
2298.70882,15.57
2300.66048,15.565
2300.68459,15.569
2302.63407,15.551
2302.66045,15.548
2304.63874,15.543
2304.67642,15.53
2315.56204,15.717
2316.53588,15.563
2322.5327,15.603
2322.57726,15.602
2325.55316,15.623
2325.5811,15.607
2330.56189,15.668
2331.5202,15.575
2337.51366,15.547
2337.54277,15.543
2343.50969,15.561
2345.50254,15.572
2350.50459,15.653
2353.50388,15.624
2365.52134,15.721
2370.50858,15.556
2518.91309,15.535
2519.89774,15.703
2526.84276,15.558
2526.87601,15.565
2540.85098,15.654
2541.8703,15.553
2544.77112,15.685
2544.79707,15.673
2550.88899,15.695
2551.79702,15.536
2554.85432,15.689
2554.88946,15.705
2558.86541,15.642
2558.8911,15.645
2562.88626,15.595
2563.77892,15.614
2571.81184,15.677
2571.83608,15.686
2577.75048,15.684
2577.77458,15.71
2580.77929,15.542
2580.80333,15.567
2588.81606,15.603
2588.84214,15.619
2593.80519,15.574
2594.71964,15.642
2599.72508,15.541
2599.75082,15.546
2607.68331,15.548
2607.71533,15.554
2617.67272,15.593
2617.70704,15.614
2620.61625,15.64
2620.67179,15.626
2622.792,15.565
2622.81824,15.575
2624.78668,15.565
2624.81195,15.556
2626.60018,15.585
2628.59715,15.57
2629.59682,15.69
2631.59635,15.686
2631.78064,15.72
2634.55103,15.546
2634.57504,15.542
2637.58889,15.697
2640.62853,15.565
2640.65924,15.572
2642.62675,15.571
2642.65142,15.583
2644.61696,15.585
2644.64685,15.597
2646.63593,15.599
2649.63996,15.613
2650.60216,15.624
2651.68878,15.576
2652.61441,15.639
2654.64096,15.677
2654.72271,15.672
2656.71596,15.695
2657.66979,15.549
2658.70577,15.698
2659.74698,15.545
2661.72109,15.551
2661.74623,15.551
2663.62475,15.546
2663.67309,15.537
2665.64985,15.55
2665.71635,15.57
2667.61522,15.561
2667.64294,15.581
2669.65735,15.584
2671.58449,15.571
2671.61522,15.584
2673.59273,15.599
2673.61903,15.601
2675.59229,15.611
2675.61635,15.622
2677.59014,15.613
2677.61425,15.624
2679.61701,15.644
2679.67746,15.649
2681.63825,15.669
2681.66385,15.671
2685.57788,15.683
2685.61083,15.69
2690.53209,15.558
2690.56451,15.537
2694.52984,15.545
2694.55534,15.549
2698.59165,15.586
2699.54403,15.705
2704.57415,15.621
2705.52829,15.63
2711.52936,15.584
2711.55493,15.562
2731.48336,15.586
2732.48606,15.667
2872.8599,15.677
2872.88521,15.695
2879.87627,15.577
2883.87339,15.594
2884.82219,15.665
2886.84206,15.652
2888.85489,15.608
2892.8386,15.578
2893.84631,15.649
2896.81306,15.547
2897.80794,15.675
2903.8539,15.709
2905.89029,15.714
2906.80261,15.563
2910.77569,15.577
2910.8008,15.578
2915.77972,15.636
2915.80619,15.633
2921.78156,15.566
2921.80839,15.554
2924.8713,15.687
2925.7517,15.553
2929.77965,15.545
2929.86902,15.539
2932.83715,15.7
2932.86265,15.708
2939.74149,15.568
2941.81315,15.617
2942.7197,15.659
2943.68833,15.596
2946.7151,15.613
2946.74026,15.601
2949.69812,15.642
2949.72384,15.641
2952.68969,15.572
2952.71493,15.565
2955.75138,15.692
2955.77651,15.707
2957.68392,15.692
2957.70916,15.694
2960.70482,15.542
2960.7346,15.571
2960.83134,15.56
2963.69156,15.713
2963.71689,15.701
2966.65707,15.561
2966.6838,15.581
2968.8201,15.603
2968.84756,15.626
2971.82741,15.593
2972.68345,15.604
2975.62573,15.617
2975.65692,15.622
2977.72765,15.567
2979.75389,15.559
2979.77969,15.558
2983.66158,15.55
2983.68782,15.544
2985.84264,15.539
2986.6701,15.712
2988.60558,15.69
2988.63565,15.706
2990.76561,15.697
2990.79771,15.692
2992.61567,15.693
2994.72409,15.686
2994.74931,15.67
2996.62471,15.692
2997.60701,15.57
2998.60681,15.696
2999.6266,15.584
3000.62493,15.66
3001.60453,15.6
3002.60961,15.642
3003.63352,15.624
3004.61247,15.609
3005.66291,15.653
3006.66151,15.567
3007.61553,15.656
3008.61256,15.587
3009.61332,15.663
3010.63278,15.551
3011.64552,15.679
3012.72818,15.537
3013.62103,15.676
3016.6215,15.537
3016.64677,15.538
3018.60663,15.55
3018.63219,15.557
3020.64777,15.545
3020.67321,15.571
3022.67976,15.582
3022.73879,15.587
3024.66178,15.588
3024.68714,15.606
3026.63085,15.595
3026.65618,15.587
3028.63626,15.614
3028.66169,15.611
3030.67153,15.636
3030.69704,15.634
3032.7753,15.662
3033.61747,15.571
3034.82482,15.684
3035.62523,15.556
3037.60242,15.559
3038.60617,15.68
3040.57797,15.693
3041.53175,15.541
3043.56117,15.541
3045.57488,15.542
3045.60029,15.523
3047.52671,15.553
3047.55473,15.538
3049.53221,15.55
3049.55929,15.55
3051.52578,15.554
3051.5519,15.553
3053.51831,15.583
3053.54823,15.58
3055.52043,15.587
3055.54691,15.591
3057.51646,15.605
3057.54612,15.609
3059.51901,15.623
3059.54472,15.619
3060.51261,15.618
3061.51371,15.626
3061.53893,15.624
3064.51659,15.595
